Company_Symbol,Total-Score,E-Score,S-Score,G-Score
CE,24.75793773916256,14.7415181148472,6.217073779163796,3.8107678108150758
CF,24.20186262482709,14.019963371783158,6.728856484990628,3.360915433569629
CFG,21.547552956891412,1.7808861574657673,8.539901460896123,11.25402719397347
CHD,20.260256997313427,6.285269344140487,8.331571292184066,5.94559259483572
CHRW,16.05087492842412,4.086379296627941,7.895278594262858,4.077781041399023
CHTR,25.608952272509526,6.546396838612905,11.947684886233072,7.059193717078154
CI,11.532084653009408,0.15739378604018728,8.312313483005374,2.751036896658328
CINF,23.47798583392101,1.429510645786029,10.287607416939755,11.640280604052368
CL,24.899646077670468,9.00503710260128,10.6166956026122,5.42933665087874
CLX,19.67676693049236,7.36898224142912,8.809596369046977,4.003256713553685
CMCSA,23.820608365050386,4.988097539024666,10.764321642065184,7.963410659389771
