Ticker,Timestamp,ESG Score,Governance Score,Environment Score,Social Score
PPG,1448928000,67.0,69.0,63.0,71.0
PPG,1451606400,67.17,68.94,62.5,71.25
PPG,1454284800,67.17,68.94,62.5,71.25
PPG,1456790400,67.17,68.94,62.5,71.25
PPG,1459468800,65.89,68.95,62.51,67.57
PPG,1462060800,65.89,68.95,62.51,67.57
PPG,1464739200,65.89,68.95,62.51,67.57
PPG,1467331200,65.89,68.95,62.51,67.57
PPG,1470009600,65.89,68.95,62.51,67.57
PPG,1472688000,65.49,68.95,62.51,66.43
PPG,1475280000,65.49,68.95,62.51,66.43
PPG,1477958400,65.44,68.95,62.51,66.29
PPG,1480550400,65.44,68.95,62.51,66.29
PPG,1483228800,69.17,72.22,66.01,70.61
PPG,1485907200,69.17,72.22,66.01,70.61
PPG,1488326400,69.17,72.22,66.01,70.61
PPG,1491004800,69.17,72.22,66.01,70.61
PPG,1493596800,69.17,72.22,66.01,70.61
PPG,1496275200,69.17,72.22,66.01,70.61
PPG,1498867200,69.17,72.22,66.01,70.61
PPG,1501545600,67.12,70.55,62.18,70.33
PPG,1504224000,67.12,70.55,62.18,70.33
PPG,1506816000,64.94,64.46,59.63,71.36
PPG,1509494400,64.92,64.46,59.58,71.36
PPG,1512086400,64.92,64.46,59.58,71.36
PPG,1514764800,64.92,64.46,59.58,71.36
PPG,1517443200,64.92,64.46,59.58,71.36
PPG,1519862400,64.92,64.46,59.58,71.36
PPG,1522540800,64.92,64.46,59.58,71.36
PPG,1525132800,64.92,64.46,59.58,71.36
PPG,1527811200,64.88,64.3,59.58,71.36
PPG,1530403200,64.88,64.3,59.58,71.36
PPG,1533081600,64.12,61.26,59.58,71.36
PPG,1535760000,64.09,61.26,59.58,71.26
PPG,1538352000,63.52,61.26,58.23,71.18
PPG,1541030400,62.57,61.26,58.23,68.46
PPG,1543622400,62.79,62.15,58.23,68.46
PPG,1546300800,63.42,62.15,63.59,64.12
PPG,1548979200,63.42,62.15,63.59,64.12
PPG,1551398400,63.42,62.15,63.59,64.12
PPG,1554076800,63.42,62.15,63.59,64.12
PPG,1556668800,64.7,62.15,66.81,64.12
PPG,1559347200,64.7,62.15,66.81,64.12
PPG,1561939200,65.24,62.15,68.16,64.12
PPG,1564617600,65.24,62.15,68.16,64.12
PPG,1567296000,65.24,62.15,68.16,64.12
PPG,1569888000,65.24,62.15,68.16,64.12
PPG,1572566400,65.24,62.15,68.16,64.12
PPG,1575158400,64.49,59.75,67.78,64.12
PPG,1577836800,30.9,8.87,12.32,9.71
PPG,1580515200,30.9,8.87,12.32,9.71
PPG,1583020800,30.9,8.87,12.32,9.71
PPG,1585699200,,,,
PPG,1588291200,,,,
PPG,1590969600,,,,
PPG,1593561600,27.1,8.15,10.17,8.78
PPG,1596240000,27.1,8.15,10.17,8.78
PPG,1598918400,,,,
PPG,1601510400,27.3,8.35,10.17,8.78
PPG,1604188800,,,,
PPG,1606780800,,,,
PPG,1609459200,26.91,7.96,10.17,8.78
PPG,1612137600,26.91,7.96,10.17,8.78
PPG,1614556800,26.91,7.96,10.17,8.78
PPG,1617235200,,,,
PPG,1619827200,25.8,7.49,9.72,8.6
PPG,1622505600,,,,
PPG,1625097600,,,,
PPG,1627776000,,,,
PPG,1630454400,24.42,7.41,9.32,7.69
PPG,1633046400,,,,
PPG,1635724800,,,,
PPG,1638316800,,,,
PPG,1640995200,,,,
PPG,1643673600,24.51,7.49,9.32,7.69
PPG,1646092800,,,,
PPG,1648771200,,,,
PPG,1651363200,24.51,7.49,9.32,7.69
PPG,1654041600,,,,
PPG,1656633600,,,,
PPG,1659312000,24.33,7.32,9.32,7.69
PPG,1661990400,,,,
PPG,1664582400,,,,
PPG,1667260800,,,,
PPG,1669852800,,,,
PPG,1672531200,,,,
PPG,1675209600,,,,
PPG,1677628800,,,,
PPG,1680307200,,,,
PPG,1682899200,,,,
PPG,1685577600,,,,
PPG,1688169600,,,,
PPG,1690848000,,,,
PPG,1693526400,25.21,6.54,10.98,7.7
