year,Company_Symbol,Total-Score,E-Score,S-Score,G-Score
2029,ACN,9.232383974206959,3.4726046824282166,6.632609056070685,-0.47451537183092807
2020,ADBE,13.545,0.45,8.055,5.048333333333334
2021,ADBE,10.88,0.48,5.65,4.74
2022,ADBE,11.9,1.42,5.836666666666666,4.64
2023,ADBE,13.08,1.94,5.99,5.15
2024,ADBE,14.06,1.6900000000000002,7.23,5.14
2025,ADBE,13.85595843718055,2.2194906493006346,6.552071229657911,4.971871150665798
2026,ADBE,13.818672801391235,2.7601938824838648,5.951640571791277,4.992409124532784
2027,ADBE,13.948248479440199,3.3119218044774956,5.428638022442458,5.201754503422901
2028,ADBE,15.629250573537345,3.1130194800836613,7.136561969251142,5.322116568394094
2029,ADBE,15.425616831218004,3.6424709492954084,6.459400879338716,5.15388675177137
2020,ADI,26.03,10.72,7.650000000000001,7.668333333333333
2021,ADI,25.406,10.618,7.554,7.226000000000001
2022,ADI,23.793333333333333,9.836666666666668,7.670000000000001,6.276666666666667
2023,ADI,22.92,9.27,6.68,6.98
2024,ADI,18.23333333333333,6.47,6.41,5.353333333333333
2025,ADI,17.26908003924981,6.151705526956102,6.320613923093447,4.942972891870689
2026,ADI,16.349550546158078,5.638209341307574,6.041186826284665,4.6415298766155475
2027,ADI,15.476219377670073,4.929006235869483,5.571677094315493,4.44762822054769
2028,ADI,10.789556366801996,2.155656978557527,5.107198841262054,3.1606101438341625
2029,ADI,9.825228909300876,1.837303872994326,5.017773386878803,2.751340234403526
2020,ADM,34.78333333333333,15.893333333333333,13.506666666666666,5.381666666666667
2021,ADM,34.251999999999995,15.91,13.486,4.851999999999999
2022,ADM,36.406666666666666,18.23,13.160000000000002,5.02
2023,ADM,31.79,16.64,10.15,5.01
2024,ADM,31.26,17.02,10.38,3.86
2025,ADM,31.149066911650372,17.650045433648007,9.578928360443024,3.637732782618751
2026,ADM,30.46664374083606,18.105715232756335,8.539224440622215,3.542506998545316
2027,ADM,29.212363952639468,18.385145010905685,7.261214243767121,3.5722158292464674
2028,ADM,27.473388910450034,18.13947656057479,6.744979397265215,2.4444684945344823
2029,ADM,27.362408493199823,18.77112995230931,5.943730296851417,2.223972002238857
2020,ADP,13.626666666666669,0.07,7.551666666666667,6.005
2021,ADP,12.896,0.27,7.0920000000000005,5.536
2022,ADP,14.04,1.07,7.033333333333334,5.94
2023,ADP,13.82,2.8,5.54,5.49
2024,ADP,15.12,4.01,7.37,3.74
2025,ADP,15.192707934867562,4.8659273025287,6.894238043397201,3.627314375817294
2026,ADP,15.366027915093198,5.764805853502362,6.284774885180886,3.513792364392832
2027,ADP,15.648122820600825,6.7053603930194505,5.541931118901843,3.3999905001657327
2028,ADP,16.865102273661496,8.291997884677318,7.087955402338172,1.5697221282073301
2029,ADP,16.929894683520182,9.149409318561323,6.612512393277849,1.4559370281272628
2020,ADSK,19.523333333333333,1.28,12.77,5.463333333333334
2021,ADSK,15.362,1.37,9.22,4.782
2022,ADSK,15.863333333333337,2.7300000000000004,8.533333333333333,4.603333333333333
2023,ADSK,16.405,3.545,8.19,4.665
2024,ADSK,15.14,3.34,8.09,3.72
2025,ADSK,13.999716404014181,4.127758850866617,6.473037198561,3.2877038349671395
2026,ADSK,13.11410768023958,4.943086106951131,5.031054191535872,3.1025111661087132
2027,ADSK,12.493147048533885,5.785694112651819,3.7663018520142204,3.164175991243467
2028,ADSK,12.051461737788525,5.657951630918351,4.253954578514391,2.2191756118923243
2029,ADSK,10.901324390771336,6.445706629833324,2.6353202045180546,1.7866515360714832
2020,AEE,37.02333333333333,18.255,12.166666666666666,6.603333333333333
2021,AEE,33.026,15.553999999999998,11.324,6.140000000000001
2022,AEE,29.180000000000003,15.196666666666667,8.366666666666667,5.623333333333334
2023,AEE,28.35,13.48,9.5,5.37
2024,AEE,26.23,12.18,9.12,4.93
2025,AEE,24.3267642102611,10.489525065481,7.949590843964675,4.645465186679835
2026,AEE,22.969717471924636,9.020133312767289,6.855669434433487,4.377869780376359
2027,AEE,22.139784067930734,7.762462356149988,5.844564796228211,4.124537674611194
2028,AEE,20.019550832047912,6.407704003347861,6.231289872474444,3.6845346280869467
2029,AEE,18.116318404421893,4.726548064953551,5.055019220787911,3.4000032791768553
2020,AEP,32.76333333333333,17.836666666666666,9.375,5.561666666666667
2021,AEP,34.614999999999995,19.5025,9.83,5.28
2022,AEP,28.97,16.166666666666668,7.286666666666666,5.516666666666666
2023,AEP,26.14,12.66,8.1,5.38
2024,AEP,22.09,10.43,7.760000000000001,3.9
2025,AEP,20.039216799921917,8.80931265540513,7.107079895742048,3.8281025275287743
2026,AEP,17.488080152200773,6.9227215318000646,6.468668951511019,3.797306400877774
2027,AEP,14.441954822153129,4.770955819721106,5.83895964846748,3.8068741814336278
2028,AEP,9.989620720095353,1.6229607740151302,5.897530265678778,2.298016201541017
2029,AEP,7.932966655906945,0.001176112471270585,5.250645081476721,2.226373379119221
2020,AES,33.42333333333333,19.01,8.56,5.858333333333333
2021,AES,34.364,20.012,8.514,5.8420000000000005
2022,AES,34.453333333333326,17.916666666666668,10.236666666666666,6.3
2023,AES,30.42,14.87,9.69,5.865
2024,AES,24.26,11.6,9.16,3.5
2025,AES,24.817211174529163,10.596216827072126,9.721591256494097,3.635517574043492
2026,AES,23.923403743106405,9.144755749140629,10.233514868361732,3.6835098835559146
2027,AES,21.57754075093935,7.245512157769156,10.694300081219296,3.643298211702163
2028,AES,14.7367323818914,3.294817947518176,9.860818346816231,1.149418727541363
2029,AES,15.293053918383322,2.290396268440425,10.423446845378452,1.2848173610925588
2020,AFL,23.87333333333333,2.046666666666667,8.233333333333333,13.589999999999998
2021,AFL,23.272,2.38,7.882000000000001,13.01
2022,AFL,17.3,0.47,7.260000000000001,9.57
2023,AFL,18.33,0.3,9.14,8.9
2024,AFL,18.02,0.825,8.655000000000001,8.545
2025,AFL,15.67555604629283,0.11526079723172611,8.758409372174738,6.8100115598850355
2026,AFL,13.411545745691466,-0.597630026642441,8.968246846461923,5.05906009878402
2027,AFL,11.234955119303528,-1.314899430880949,9.284705518204534,3.292767157270344
2028,AFL,11.921080249619633,-0.7197140397100377,9.44327682150357,3.2043345063688093
2029,AFL,9.570595641797834,-1.4278265435453648,9.546485496202605,1.469263861321414
2020,AIG,30.540000000000003,1.9016666666666664,12.793333333333337,15.840000000000002
2021,AIG,29.29,1.942,12.46,14.882
2022,AIG,26.046666666666667,1.87,10.156666666666666,14.026666666666666
2023,AIG,24.18,1.65,9.67,12.86
2024,AIG,23.6,1.95,11.0,10.64
2025,AIG,21.609003120256325,1.9499240192699934,9.857632141030258,9.607333187313575
2026,AIG,19.37748115123406,1.839820245564018,8.689886523663391,8.508018441271968
2027,AIG,16.910868962529605,1.6198215921266756,7.49587502082894,7.341348613171913
2028,AIG,16.466856980574295,1.9198179582430073,8.989889770426768,5.121354671880887
2029,AIG,14.471241014059949,1.9198343618339897,7.849258009550573,4.088593217698328
2020,AIZ,26.01,1.36,11.166666666666666,13.485
2021,AIZ,25.008,1.34,10.54,13.138
2022,AIZ,24.576666666666668,1.66,10.136666666666668,12.783333333333331
2023,AIZ,24.295,1.63,11.2,11.465
2024,AIZ,23.48,1.64,10.8,11.03
2025,AIZ,22.762060421765586,1.7546414233508305,10.418561770893607,9.725423682849092
2026,AIZ,22.26048299600948,1.8676443096197977,10.388490939651472,8.413356113505127
2027,AIZ,21.97882249032205,1.9789497090502053,10.710010478635265,7.095029020943549
2028,AIZ,21.16381259199613,1.9527928260659957,10.619024872816109,6.660013950309427
2029,AIZ,20.44565142693367,2.0674468513663875,10.237369151602127,5.355414425433191
2020,AJG,24.855,0.14,11.144999999999998,13.565
2021,AJG,23.938,0.138,11.154,12.646
2022,AJG,21.76333333333333,0.13,9.18,12.456666666666663
2023,AJG,21.22,0.1,10.81,10.31
2024,AJG,20.26,0.22,10.9,9.14
2025,AJG,18.81907048857145,0.20250118615231882,10.527823014805868,8.408893655135163
2026,AJG,17.511009940263005,0.17872695110047832,10.229860794874853,7.413634630194412
2027,AJG,16.335159820431905,0.14872672072228488,10.004732597680599,6.1582015283904
2028,AJG,15.547349108176398,0.2687273037756588,10.741288049387052,4.680756725136163
2029,AJG,14.10744832724833,0.25123029472883235,10.370822654654004,3.9454756568717677
2020,AKAM,21.05,1.91,11.800000000000002,7.34
2021,AKAM,21.110000000000003,1.98,11.510000000000002,7.62
2022,AKAM,19.73333333333333,1.93,10.35,7.453333333333333
2023,AKAM,16.78,2.965,6.995,6.824999999999999
2024,AKAM,13.31,2.74,6.830000000000001,3.74
2025,AKAM,13.023976206915279,3.027742534602185,5.467371892043396,3.894633217428707
2026,AKAM,11.404598616093807,3.3383241546153335,3.9101879604822862,3.6584977603883884
2027,AKAM,8.45126530833592,3.6742363000681983,2.159702727802671,3.030164335734085
2028,AKAM,4.981260051960803,3.7428743599686927,1.2591691296563283,-0.054838027323345195
2029,AKAM,4.696176206720537,4.028053488402465,-0.10451738608569983,0.09973921240677464
2020,ALB,36.99333333333333,19.385,8.91,8.698333333333332
2021,ALB,36.834,19.09,8.97,8.772
2022,ALB,28.996666666666663,15.64,5.473333333333334,7.883333333333333
